raw_text,canonical_name,category,subcategory
O'REILLY LEARNING OREILLY.COM,O'Reilly Media,Education & Learning,Online Courses
PLURALSIGHT COURSES PLURALSIGHT.COM,Pluralsight,Education & Learning,Online Courses
IELTS CANADA TESTING FEE,IELTS Canada,Education & Learning,Test Preparation
GMAT EXAM REGISTRATION MBA.COM,GMAT,Education & Learning,Test Preparation
GRE TESTING FEE ETS.ORG,GRE,Education & Learning,Test Preparation
KAPLAN TEST PREP KAPLAN.COM,Kaplan,Education & Learning,Test Preparation
VIMEO *SUBSCRIPTION VIMEO.COM,Vimeo,Software & Subscriptions,Video Platform
DROPBOX *SUBSCRIPTION DROPBOX.COM,Dropbox,Software & Subscriptions,Cloud Storage
1PASSWORD SUBSCRIPTION 1PASSWORD.COM,1Password,Software & Subscriptions,Security Software
LASTPASS PREMIUM LASTPASS.COM,LastPass,Software & Subscriptions,Security Software
GRAMMARLY PREMIUM GRAMMARLY.COM,Grammarly,Software & Subscriptions,Writing Tools
EVERNOTE PREMIUM EVERNOTE.COM,Evernote,Software & Subscriptions,Productivity Software
TRELLO *ATLASSIAN TRELLO.COM,Trello,Software & Subscriptions,Project Management
AIRTABLE SUBSCRIPTION AIRTABLE.COM,Airtable,Software & Subscriptions,Database Software
MAILCHIMP MARKETING MAILCHIMP.COM,Mailchimp,Professional Services,Email Marketing
CONVERTKIT *SUBSCRIPTION CONVERTKIT.COM,ConvertKit,Professional Services,Email Marketing
CONSTANT CONTACT CONSTANTCONTACT.COM,Constant Contact,Professional Services,Email Marketing
BUFFER SOCIAL MEDIA BUFFER.COM,Buffer,Professional Services,Social Media Tools
HOOTSUITE MEDIA INC HOOTSUITE.COM,Hootsuite,Professional Services,Social Media Tools
ZENDESK SUPPORT ZENDESK.COM,Zendesk,Professional Services,Customer Support
INTERCOM SOFTWARE INTERCOM.COM,Intercom,Professional Services,Customer Support
TYPEFORM SURVEYS TYPEFORM.COM,Typeform,Professional Services,Survey Software
SURVEYMONKEY SURVEYMONKEY.COM,SurveyMonkey,Professional Services,Survey Software
CALENDLY SCHEDULING CALENDLY.COM,Calendly,Professional Services,Scheduling Software
ACUITY SCHEDULING ACUITYSCHEDULING.COM,Acuity Scheduling,Professional Services,Scheduling Software
NAMECHEAP.COM DOMAINS NAMECHEAP.COM,Namecheap,Software & Subscriptions,Domain Registration
GODADDY.COM DOMAINS GODADDY.COM,GoDaddy,Software & Subscriptions,Domain Registration
WORDPRESS.COM SUBSCRIPTION WORDPRESS.COM,WordPress,Software & Subscriptions,Website Platform
WIX.COM WEBSITE WIX.COM,Wix,Software & Subscriptions,Website Platform
SQUARESPACE WEBSITE SQUARESPACE.COM,Squarespace,Software & Subscriptions,Website Platform
SEPHORA CANADA #847 TORONTO ON,Sephora,Personal Care,Cosmetics
BATH & BODY WORKS VAUGHAN ON,Bath & Body Works,Personal Care,Personal Care Products
LUSH COSMETICS VANCOUVER BC,Lush,Personal Care,Cosmetics
MAC COSMETICS MONTREAL QC,MAC Cosmetics,Personal Care,Cosmetics
CHATTERS SALON #284 CALGARY AB,Chatters,Personal Care,Hair Salon
FIRST CHOICE HAIRCUTTERS OTTAWA ON,First Choice Haircutters,Personal Care,Hair Salon
SMARTSTYLE #2847 EDMONTON AB,SmartStyle,Personal Care,Hair Salon
SPA NORDIK CHELSEA QC,Spa Nordik,Personal Care,Spa Services
ATHLETES WORLD #847 SCARBOROUGH ON,Athletes World,Shopping,Sporting Goods
SPORT CHEK #2847 WINNIPEG MB,Sport Chek,Shopping,Sporting Goods
MEC CO-OP VANCOUVER BC,MEC,Shopping,Sporting Goods
LULULEMON ATHLETICA TORONTO ON,Lululemon,Shopping,Clothing
ARITZIA #847 YORKVILLE ON,Aritzia,Shopping,Clothing
ROOTS CANADA #284 OTTAWA ON,Roots,Shopping,Clothing
HUDSON'S BAY #001 MONTREAL QC,Hudson's Bay,Shopping,Department Store
SIMONS #847 QUEBEC QC,Simons,Shopping,Department Store
STRUCTUBE #284 LAVAL QC,Structube,Shopping,Furniture
IKEA NORTH YORK ON,IKEA,Shopping,Furniture
HOMESENSE #847 BURLINGTON ON,HomeSense,Shopping,Home Goods
STAPLES CANADA #2847 MARKHAM ON,Staples,Shopping,Office Supplies
BEST BUY CANADA #847 RICHMOND BC,Best Buy,Shopping,Electronics
CANADA COMPUTERS #284 MISSISSAUGA ON,Canada Computers,Shopping,Electronics
LONDON PUBLIC LIBRARY LONDON ON,London Public Library,Education & Learning,Library Fine
TORONTO PUBLIC LIBRARY FEE,Toronto Public Library,Education & Learning,Library Fine
VIA RAIL CANADA VIARAIL.CA,VIA Rail,Travel & Accommodation,Train
GO TRANSIT PRESTO GOTRANSIT.COM,GO Transit,Transportation,Public Transit
STM MONTREAL OPUS CARD,STM Montreal,Transportation,Public Transit
TRANSLINK COMPASS VANCOUVER BC,TransLink,Transportation,Public Transit
